"Mod name","Registry name","Item ID","Meta/dmg","Subtypes","Display name","Ore Dict keys"
"/dank/null","danknull:dank_null_0",5565,0,"false","/dev/null/",""
"/dank/null","danknull:dank_null_1",5566,0,"false","/dev/null/MK II",""
"/dank/null","danknull:dank_null_2",5567,0,"false","/dev/null/MK III",""
"/dank/null","danknull:dank_null_3",5568,0,"false","/dev/null/MK IV",""
"/dank/null","danknull:dank_null_4",5569,0,"false","/dev/null/MK V",""
"/dank/null","danknull:dank_null_5",5570,0,"false","/dev/null/MK VI",""
"/dank/null","danknull:dank_null_6",5571,0,"false","/dev/null/Creative",""
"/dank/null","danknull:dank_null_panel_0",5572,0,"false","RedStone /dank/null Panel",""
"/dank/null","danknull:dank_null_panel_1",5573,0,"false","Lapis /dank/null Panel",""
"/dank/null","danknull:dank_null_panel_2",5574,0,"false","Iron /dank/null Panel",""
"/dank/null","danknull:dank_null_panel_3",5575,0,"false","Gold /dank/null Panel",""
"/dank/null","danknull:dank_null_panel_4",5576,0,"false","Diamond /dank/null Panel",""
"/dank/null","danknull:dank_null_panel_5",5577,0,"false","Emerald /dank/null Panel",""
"/dank/null","danknull:danknull_dock",5578,0,"false","/dev/null Docking Station",""
"AE2 Fluid Crafting","ae2fc:burette",6890,0,"false","Precision Burette",""
"AE2 Fluid Crafting","ae2fc:dense_craft_encoded_pattern",6898,0,"false","Encoded Pattern",""
"AE2 Fluid Crafting","ae2fc:dense_encoded_pattern",6897,0,"false","Encoded Pattern",""
"AE2 Fluid Crafting","ae2fc:dual_interface",6891,0,"false","ME Dual Interface",""
"AE2 Fluid Crafting","ae2fc:fluid_assembler",6893,0,"false","ME Fluid Assembler",""
"AE2 Fluid Crafting","ae2fc:fluid_discretizer",6885,0,"false","ME Fluid Discretizer",""
"AE2 Fluid Crafting","ae2fc:fluid_drop",6895,0,"false","Drop of ???",""
"AE2 Fluid Crafting","ae2fc:fluid_level_maintainer",6892,0,"false","ME Fluid Level Maintainer",""
"AE2 Fluid Crafting","ae2fc:fluid_packet",6896,0,"false","Fluid Packet",""
"AE2 Fluid Crafting","ae2fc:fluid_packet_decoder",6887,0,"false","ME Fluid Packet Decoder",""
"AE2 Fluid Crafting","ae2fc:fluid_pattern_encoder",6886,0,"false","Fluid Pattern Encoder",""
"AE2 Fluid Crafting","ae2fc:ingredient_buffer",6888,0,"false","Ingredient Buffer",""
"AE2 Fluid Crafting","ae2fc:large_ingredient_buffer",6889,0,"false","Large Ingredient Buffer",""
